lemma,poscode,surface
11.11.11,3,11.11.11
11.11.11.,3,11.11.11.
1860 München,3,1860 München
3Es / Lieshout,3,3Es / Lieshout
3M,3,3M
3VO,3,3VO
4FM,3,4FM
90e Pantserdivisie,3,90e Pantserdivisie
AAC,3,AAC
AAC 1899,3,AAC 1899
AAC Cosmos,3,AAC Cosmos
AA Drinks,3,AA Drinks
AA Gent,3,AA Gent
Aalberts,3,Aalberts
Aarhus,3,Aarhus
ABB,3,ABB
Abba,3,Abba
ABC,3,ABC
ABC Containerline,3,ABC Containerline
Aberdeen,3,Aberdeen
ABN Amro,3,ABN Amro
ABN-Amro,3,ABN-Amro
ABO,3,ABO
Abvakabo,3,Abvakabo
AbvaKabo,3,AbvaKabo
AbvaKabo FNV,3,AbvaKabo FNV
ABVV,3,ABVV
ABX,3,ABX
Academica,3,Academica
Academie,3,Academie
ACC,3,ACC
Accell Group,3,Accell Group
Acco,3,Acco
AC / DC,3,AC / DC
Achilles 1894,3,Achilles 1894
Achilles'29,3,Achilles'29
Achmea,3,Achmea
Ackermans & van Haaren,3,Ackermans & van Haaren
AC Milan,3,AC Milan
ACMP,3,ACMP
ACOD,3,ACOD
Acom,3,Acom
ACOM,3,ACOM
AC Parma,3,AC Parma
Acqua & Sapone,3,Acqua & Sapone
AC Torino,3,AC Torino
ACV,3,ACV
ACV Energie,3,ACV Energie
ACW,3,ACW
AD,3,AD
A'dam Tigers,3,A'dam Tigers
Adanaspor,3,Adanaspor
Adecco,3,Adecco
Aden-Abyan,3,Aden-Abyan
Aditel,3,Aditel
Admiraliteit,3,Admiraliteit
ADO,3,ADO
ADO'20,3,ADO'20
ADO Den Haag,3,ADO Den Haag
ADO Den Hg,3,ADO Den Hg
Aegon,3,Aegon
AEK Athene,3,AEK Athene
AEL,3,AEL
Aeroflot,3,Aeroflot
AFC,3,AFC
AFMP,3,AFMP
AFP,3,AFP
Afrikaanse Unie,3,Afrikaanse Unie
Afrika-instituut,3,Afrika-instituut
AFSSA,3,AFSSA
Aftonbladet,3,Aftonbladet
AG2R,3,AG2R
AG2R Prévoyance,3,AG2R Prévoyance
Agalev,3,Agalev
Agalev Borsbeek Sociaal,3,Agalev Borsbeek Sociaal
Agfa,3,Agfa
Agfa Gevaert,3,Agfa Gevaert
Agfa-Gevaert,3,Agfa-Gevaert
AGOVV,3,AGOVV
Agusta,3,Agusta
AH,3,AH
AHA,3,AHA
AHC Kolping,3,AHC Kolping
AHC / Kolping,3,AHC / Kolping
AH Mobiel,3,AH Mobiel
Ahold,3,Ahold
AID,3,AID
AIK Solna,3,AIK Solna
Aino,3,Aino
Airbus,3,Airbus
Airdrie United,3,Airdrie United
Air France,3,Air France
Air Holland,3,Air Holland
Air Katanga,3,Air Katanga
AirLib,3,AirLib
Air Lib,3,Air Lib
Air Malta,3,Air Malta
Air New Zealand,3,Air New Zealand
Air Scotland,3,Air Scotland
Airspray,3,Airspray
Airstop,3,Airstop
AIT / FIA,3,AIT / FIA
AIVD,3,AIVD
Ajaccio,3,Ajaccio
AJ Auxerre,3,AJ Auxerre
Ajax,3,Ajax
AJW,3,AJW
A.J. Walter Aviation,3,A.J. Walter Aviation
AJ Walter Aviation,3,AJ Walter Aviation
AKN,3,AKN
AKP,3,AKP
AK-partij,3,AK-partij
Akratitos,3,Akratitos
Akzo,3,Akzo
Akzo Nobel,3,Akzo Nobel
AKZO Nobel,3,AKZO Nobel
Ala dos Namorados,3,Ala dos Namorados
al-Alami,3,al-Alami
Al-Alami,3,Al-Alami
Alanheri,3,Alanheri
Alan Parsons Project,3,Alan Parsons Project
al-Aqsa,3,al-Aqsa
Al-Aqsa,3,Al-Aqsa
al-Aqsa Brigade,3,al-Aqsa Brigade
al-Aqsa Brigades,3,al-Aqsa Brigades
al-Aqsa Martelaren Brigades,3,al-Aqsa Martelaren Brigades
Albert Heijn,3,Albert Heijn
Albron,3,Albron
Alcatel,3,Alcatel
Alcoa,3,Alcoa
Alcom / Capelle,3,Alcom / Capelle
Aldel,3,Aldel
Aldi,3,Aldi
al Fatah,3,al Fatah
Algemeen Dagblad,3,Algemeen Dagblad
ALGEMEEN DAGBLAD,3,ALGEMEEN DAGBLAD
Algemeen Nederlands Verbond,3,Algemeen Nederlands Verbond
Algemene Assemblee,3,Algemene Assemblee
Algemene Inlichtingen- en Veiligheidsdienst,3,Algemene Inlichtingen- en Veiligheidsdienst
Algemene Inspectie Dienst,3,Algemene Inspectie Dienst
Algemene Onderwijsbond,3,Algemene Onderwijsbond
Algemene Rekenkamer,3,Algemene Rekenkamer
Algemene Zaken,3,Algemene Zaken
Alice in Chains,3,Alice in Chains
Alitalia,3,Alitalia
Al-Ittifaq,3,Al-Ittifaq
Al Ittihad,3,Al Ittihad
al Jazeera,3,al Jazeera
al-Jazeera,3,al-Jazeera
Al-Jazeera,3,Al-Jazeera
All England Club,3,All England Club
Allianz,3,Allianz
Allianz AG,3,Allianz AG
Almanij,3,Almanij
Almere Vandaag,3,Almere Vandaag
al-Qaeda,3,al-Qaeda
Al Qaeda,3,Al Qaeda
Al-Qaeda,3,Al-Qaeda
al-Qaida,3,al-Qaida
al'Qaida,3,al'Qaida
Al-Qassam-brigades,3,Al-Qassam-brigades
al-Queda,3,al-Queda
Altay Izmir,3,Altay Izmir
Amazing Stroopwafels,3,Amazing Stroopwafels
Amazon.com,3,Amazon.com
American Film Institute,3,American Film Institute
American Society Conservation International,3,American Society Conservation International
America Online,3,America Online
Amerikaanse Hartvereniging,3,Amerikaanse Hartvereniging
Amerikaanse Patentenbureau,3,Amerikaanse Patentenbureau
AMEV,3,AMEV
Amica Wronki,3,Amica Wronki
Amnesty,3,Amnesty
Amnesty International,3,Amnesty International
Amstelland,3,Amstelland
Amsterdam Commodities,3,Amsterdam Commodities
Amsterdamse AC,3,Amsterdamse AC
Amsterdam Tigers,3,Amsterdam Tigers
AMVJ,3,AMVJ
Anaheim Angels,3,Anaheim Angels
ANC,3,ANC
Ancona,3,Ancona
AND IP,3,AND IP
Angels,3,Angels
Animals,3,Animals
Animo,3,Animo
Ankaragücü,3,Ankaragücü
Anne Frank Stichting,3,Anne Frank Stichting
ANP,3,ANP
Antalya Werder Bremen,3,Antalya Werder Bremen
Antonov,3,Antonov
Antwerp,3,Antwerp
ANVV,3,ANVV
ANWB,3,ANWB
AOb,3,AOb
AOL,3,AOL
Aol Time Warner,3,Aol Time Warner
AOT,3,AOT
AP,3,AP
APEC,3,APEC
Aphex Twin,3,Aphex Twin
Apoel Nicosia,3,Apoel Nicosia
Appelgroep Westerbork,3,Appelgroep Westerbork
Aquafin,3,Aquafin
Arabische Liga,3,Arabische Liga
Arabisch Europese Liga,3,Arabisch Europese Liga
Arabisch-Europese Liga,3,Arabisch-Europese Liga
Arbeiderspartij,3,Arbeiderspartij
Arbeidsinspectie,3,Arbeidsinspectie
Arbeidspartij,3,Arbeidspartij
Arbitragehof,3,Arbitragehof
Arboned Westa,3,Arboned Westa
Arcadis,3,Arcadis
Arcelor,3,Arcelor
Archigram-groep,3,Archigram-groep
ARD,3,ARD
Argon,3,Argon
Ariane,3,Ariane
Arianespace,3,Arianespace
Arid,3,Arid
Arke / Pollux,3,Arke / Pollux
Arminia Bielefeld,3,Arminia Bielefeld
Arrows,3,Arrows
Arsenal,3,Arsenal
Arte,3,Arte
Artsen zonder Grenzen,3,Artsen zonder Grenzen
Asda,3,Asda
Asean,3,Asean
ASEC Mimosas,3,ASEC Mimosas
Ashanti Exploration,3,Ashanti Exploration
ASKV Linz,3,ASKV Linz
ASM,3,ASM
ASMI,3,ASMI
ASM International,3,ASM International
ASML,3,ASML
ASM Lithography,3,ASM Lithography
AS Monaco,3,AS Monaco
ASR Bank,3,ASR Bank
AS Roma,3,AS Roma
ASRV Ascrum,3,ASRV Ascrum
Associated weavers,3,Associated weavers
Associated Weavers,3,Associated Weavers
Associatie van Zuidoost-Aziatische Naties,3,Associatie van Zuidoost-Aziatische Naties
Aston Villa,3,Aston Villa
Astrium,3,Astrium
Astronauts,3,Astronauts
ASV Dronten,3,ASV Dronten
ASWH,3,ASWH
AT5,3,AT5
Atalanta,3,Atalanta
Atalanta Bergamo,3,Atalanta Bergamo
Atheneum,3,Atheneum
Athletic Bilbao,3,Athletic Bilbao
Athletic de Bilbao,3,Athletic de Bilbao
Athlon,3,Athlon
Atlanta Braves,3,Atlanta Braves
Atlantida FM,3,Atlantida FM
Atlético,3,Atlético
Atletico Junior,3,Atletico Junior
Atletico Madrid,3,Atletico Madrid
Atletiek Vlaanderen,3,Atletiek Vlaanderen
Atomic Kitten,3,Atomic Kitten
Atoomagentschap,3,Atoomagentschap
Atoomenergie Agentschap,3,Atoomenergie Agentschap
ATP,3,ATP
AT&T,3,AT&T
Attac,3,Attac
ATV,3,ATV
Audi,3,Audi
Aum-sekte,3,Aum-sekte
Australian Brandenburg Orchestra,3,Australian Brandenburg Orchestra
Austria Wien,3,Austria Wien
Auto,3,Auto
Autonome Universiteit van Mexico-stad,3,Autonome Universiteit van Mexico-stad
Autoriteit Financiele Markten,3,Autoriteit Financiele Markten
Auxerre,3,Auxerre
Auximines,3,Auximines
AVBB,3,AVBB
AVD,3,AVD
AVEM,3,AVEM
Avero,3,Avero
Avia,3,Avia
AVRO,3,AVRO
AXA,3,AXA
Axa Stenman,3,Axa Stenman
AXA Stenman,3,AXA Stenman
Axel,3,Axel
Axias / Tachos,3,Axias / Tachos
AZ,3,AZ
Aziatisch Monetair Fonds,3,Aziatisch Monetair Fonds
AZ&PC,3,AZ&PC
Azzurri,3,Azzurri
Baan,3,Baan
BACC,3,BACC
Backstreet Boys,3,Backstreet Boys
BAe Systems,3,BAe Systems
Balkan,3,Balkan
Balkenende I,3,Balkenende I
Ballast Nedam,3,Ballast Nedam
Ballast Nedam Infra Noord Oost BV,3,Ballast Nedam Infra Noord Oost BV
BAM,3,BAM
Bam NBM,3,Bam NBM
BAM NBM,3,BAM NBM
Banesto,3,Banesto
Bank Austria,3,Bank Austria
Bank Degroof,3,Bank Degroof
Bankgiro,3,Bankgiro
Bankgiroloterij,3,Bankgiroloterij
BankgiroLoterij,3,BankgiroLoterij
Bankinvest IT Venture,3,Bankinvest IT Venture
Banksys,3,Banksys
Bank van de Post,3,Bank van de Post
BAR,3,BAR
Barca,3,Barca
Barça,3,Barça
Barcelona,3,Barcelona
Bari,3,Bari
Baronie,3,Baronie
Barragán Foundation,3,Barragán Foundation
BASE,3,BASE
Basisschool van het Gemeenschapsonderwijs,3,Basisschool van het Gemeenschapsonderwijs
Bassie & Adriaan,3,Bassie & Adriaan
Bastia,3,Bastia
Bataven,3,Bataven
Batenburg,3,Batenburg
Bauduin,3,Bauduin
Bauduin-Cambier,3,Bauduin-Cambier
Bayer Leverkusen,3,Bayer Leverkusen
Bayern,3,Bayern
Bayern München,3,Bayern München
BBC,3,BBC
BBC 1,3,BBC 1
BBC 2,3,BBC 2
BBL,3,BBL
BCA,3,BCA
BC Amersfoort,3,BC Amersfoort
BCC,3,BCC
BC Crash,3,BC Crash
BC De Lombard,3,BC De Lombard
BC Duinwijck,3,BC Duinwijck
BC Het Buitenhof,3,BC Het Buitenhof
BCN,3,BCN
BC Omniworld,3,BC Omniworld
BC Pegasus,3,BC Pegasus
BC Shooters,3,BC Shooters
BC Smashing,3,BC Smashing
BC Star,3,BC Star
BC 't Onstein,3,BC 't Onstein
BC Utrecht,3,BC Utrecht
BDBH,3,BDBH
Beach Boys,3,Beach Boys
Beatles,3,Beatles
Bechstein,3,Bechstein
Begemann,3,Begemann
Begemann Begaclaim,3,Begemann Begaclaim
Begroting,3,Begroting
Beijing Evening News,3,Beijing Evening News
Beijing Platform for Action,3,Beijing Platform for Action
Beira Mar,3,Beira Mar
Belangenvereniging Tankstations,3,Belangenvereniging Tankstations
Belenenses,3,Belenenses
Belga,3,Belga
Belgacom,3,Belgacom
Belgavox,3,Belgavox
Belgian Skyshops,3,Belgian Skyshops
Belgische Vereniging van Banken,3,Belgische Vereniging van Banken
Belgisch Olympisch Comité,3,Belgisch Olympisch Comité
Belgo-Katanga,3,Belgo-Katanga
Beltug,3,Beltug
Bende van Nijvel,3,Bende van Nijvel
Be-Ne-volence International,3,Be-Ne-volence International
Be-Ne-volence International Nederland,3,Be-Ne-volence International Nederland
Benfica,3,Benfica
Be Quick'28,3,Be Quick'28
Bergen,3,Bergen
Berliner Elektrizitätswerken,3,Berliner Elektrizitätswerken
Beroepsbond van de Belgische Filmpers,3,Beroepsbond van de Belgische Filmpers
BE Semiconductor,3,BE Semiconductor
BESI,3,BESI
Besiktas,3,Besiktas
Bestuurskunde,3,Bestuurskunde
BETA,3,BETA
Beter Bed,3,Beter Bed
Bettie Serveert,3,Bettie Serveert
Betty Goes Green,3,Betty Goes Green
Bever,3,Bever
Beveren,3,Beveren
Beweging,3,Beweging
BFC,3,BFC
BIAC,3,BIAC
Big Mat,3,Big Mat
Bild,3,Bild
Bild am Sonntag,3,Bild am Sonntag
Binnenlandse Aangelegenheden,3,Binnenlandse Aangelegenheden
Binnenlandse Zaken,3,Binnenlandse Zaken
Binnenlandse Zaken en Koninkrijkrelaties,3,Binnenlandse Zaken en Koninkrijkrelaties
Binnenlandse Zaken en Koninkrijksrelaties,3,Binnenlandse Zaken en Koninkrijksrelaties
Biohazard Solutions,3,Biohazard Solutions
Biologische Bakkers Brigade,3,Biologische Bakkers Brigade
Birmingham City,3,Birmingham City
BIS,3,BIS
BiZa,3,BiZa
BJP,3,BJP
BKVB,3,BKVB
Blackburn,3,Blackburn
Blackburn Rovers,3,Blackburn Rovers
Black Sabbath,3,Black Sabbath
Blauw Wit,3,Blauw Wit
Bloemendaal,3,Bloemendaal
Blof,3,Blof
Blok,3,Blok
Blondie,3,Blondie
Bloomberg,3,Bloomberg
Blue Fox,3,Blue Fox
Blur,3,Blur
Blydenstein-Willink,3,Blydenstein-Willink
BMC / SSS,3,BMC / SSS
BMG Ariola,3,BMG Ariola
BMW,3,BMW
BNN,3,BNN
BNP,3,BNP
BNP Paribas,3,BNP Paribas
Boavista,3,Boavista
BOB,3,BOB
Body Fit Amsterdam,3,Body Fit Amsterdam
Boedapest SE,3,Boedapest SE
Boeing,3,Boeing
Boelwerf,3,Boelwerf
Boerenbond,3,Boerenbond
BOIC,3,BOIC
BoinK,3,BoinK
Bölkow,3,Bölkow
Bologna,3,Bologna
Bolton Wanderers,3,Bolton Wanderers
Bombay Symphony Orchestra,3,Bombay Symphony Orchestra
Bondsdag,3,Bondsdag
Bondsraad,3,Bondsraad
Bonjour,3,Bonjour
Bonne Soirée,3,Bonne Soirée
Boo.com,3,Boo.com
Boretti / Amsterdam,3,Boretti / Amsterdam
Borussia Dortmund,3,Borussia Dortmund
Borussia Mvnchengladbach,3,Borussia Mvnchengladbach
Bosch,3,Bosch
Boskalis,3,Boskalis
Bouwcoach / Bevo,3,Bouwcoach / Bevo
Bouwfonds Wonen,3,Bouwfonds Wonen
BouwNed,3,BouwNed
Bouwnijverheid,3,Bouwnijverheid
Bouygues,3,Bouygues
Bouygues Telecom,3,Bouygues Telecom
Bovag,3,Bovag
BP Amoco,3,BP Amoco
Bral,3,Bral
Branchevereniging Consumentenvuurwerk Nederland,3,Branchevereniging Consumentenvuurwerk Nederland
Brandenburg,3,Brandenburg
Breda Basketball,3,Breda Basketball
Brederode-imperium,3,Brederode-imperium
Bremen,3,Bremen
Brent,3,Brent
Brepols,3,Brepols
Brill,3,Brill
Brink's,3,Brink's
Brink's Ziegler België,3,Brink's Ziegler België
British Aerospace,3,British Aerospace
British Airways,3,British Airways
British Medical Journal,3,British Medical Journal
British Telecom,3,British Telecom
Broederlijk Delen,3,Broederlijk Delen
Bröndby IF,3,Bröndby IF
BRT,3,BRT
BRT1,3,BRT1
BRTN,3,BRTN
Brunel,3,Brunel
Brunel International,3,Brunel International
Brussels Parlement,3,Brussels Parlement
BS Weert,3,BS Weert
BTR,3,BTR
Budejovice,3,Budejovice
Buderus,3,Buderus
Buhrmann,3,Buhrmann
Buitenlandse Handel,3,Buitenlandse Handel
Buitenlandse Zaken,3,Buitenlandse Zaken
Bulgaars-Orthodoxe Kerk,3,Bulgaars-Orthodoxe Kerk
BUMA,3,BUMA
Buma/Stemra,3,Buma/Stemra
Burgerbelangen Gemeente Emmen,3,Burgerbelangen Gemeente Emmen
Burger King,3,Burger King
Burgerzaken,3,Burgerzaken
Burgman Heybroek,3,Burgman Heybroek
Bursaspor,3,Bursaspor
Business Nieuws Radio,3,Business Nieuws Radio
BuZa,3,BuZa
BVD,3,BVD
BVE-raad,3,BVE-raad
BV Leiderdorp,3,BV Leiderdorp
BV Lely,3,BV Lely
BV Veendam,3,BV Veendam
B & W,3,B & W
B&W,3,B&W
BZC Brandenburg,3,BZC Brandenburg
BZK,3,BZK
CA,3,CA
C&A,3,C&A
CAB Madeira,3,CAB Madeira
Cadbury Schweppes,3,Cadbury Schweppes
Cagliari,3,Cagliari
Calamiteitenfonds Reizen,3,Calamiteitenfonds Reizen
Calcit Kamnik,3,Calcit Kamnik
Callahan,3,Callahan
Calvé-Delft,3,Calvé-Delft
Calvin Klein,3,Calvin Klein
Cambuur L.,3,Cambuur L.
Cambuur / Leeuwarden,3,Cambuur / Leeuwarden
Cambuur-Leeuwarden,3,Cambuur-Leeuwarden
Cambuur / L'w .,3,Cambuur / L'w .
Cambuur / L'ward .,3,Cambuur / L'ward .
Cambuur / L'warden,3,Cambuur / L'warden
Campbell Soup,3,Campbell Soup
Canal +,3,Canal +
Canal + Technologies,3,Canal + Technologies
Canas,3,Canas
Candover,3,Candover
Cantillon,3,Cantillon
Cantina Tolo,3,Cantina Tolo
Canvas,3,Canvas
CANVAS,3,CANVAS
Cap Gemini,3,Cap Gemini
Cap Gemini S.A.,3,Cap Gemini S.A.
Caprabo Lleida,3,Caprabo Lleida
Cardinals,3,Cardinals
Cardio Control,3,Cardio Control
Carling,3,Carling
Carlsberg,3,Carlsberg
Carlton,3,Carlton
Carlyle,3,Carlyle
Carp,3,Carp
CAS,3,CAS
Casablance Valley,3,Casablance Valley
Casema,3,Casema
CASPAR,3,CASPAR
Castle Hill,3,Castle Hill
Castricumse RC,3,Castricumse RC
Cavaliers,3,Cavaliers
CBC,3,CBC
CBR,3,CBR
CBS,3,CBS
CCOD,3,CCOD
CDA,3,CDA
CD Alaves,3,CD Alaves
CDH,3,CDH
CDP Capital Technologies,3,CDP Capital Technologies
CDU,3,CDU
CDU / CSU,3,CDU / CSU
CDV,3,CDV
CD & V,3,CD & V
CD&V,3,CD&V
CEB,3,CEB
CEB Noordkop,3,CEB Noordkop
CEB / Noordkop,3,CEB / Noordkop
Cedaf,3,Cedaf
Cegetel,3,Cegetel
Celera,3,Celera
Celera Genomics,3,Celera Genomics
Celera Genomics Group,3,Celera Genomics Group
Celta de Vigo,3,Celta de Vigo
Celtic,3,Celtic
Celtic Glasgow,3,Celtic Glasgow
Censydiam,3,Censydiam
Centraal Beheer,3,Centraal Beheer
Centraal Bureau Levensmiddelen,3,Centraal Bureau Levensmiddelen
Centraal Bureau voor de Statistiek,3,Centraal Bureau voor de Statistiek
Centraal Economische Commissie,3,Centraal Economische Commissie
Centraal Joods Overleg,3,Centraal Joods Overleg
Centraal Orgaan opvang Asielzoekers,3,Centraal Orgaan opvang Asielzoekers
Centraal Planbureau,3,Centraal Planbureau
Centrale Bank,3,Centrale Bank
Centrale Organisatie voor de Vleessector,3,Centrale Organisatie voor de Vleessector
Centric KSI,3,Centric KSI
Centrum voor Gelijke Kansen,3,Centrum voor Gelijke Kansen
Centrum voor gelijkheid van kansen en racismebestrijding,3,Centrum voor gelijkheid van kansen en racismebestrijding
Centrum voor Nederlandse Taal en Spraak,3,Centrum voor Nederlandse Taal en Spraak
CERN,3,CERN
Certipost,3,Certipost
Ceteco,3,Ceteco
CFDA,3,CFDA
CFR,3,CFR
CFU,3,CFU
CGIL,3,CGIL
Channel 2,3,Channel 2
Channel Four,3,Channel Four
Charleroi,3,Charleroi
Charlton Athletic,3,Charlton Athletic
Charta 77,3,Charta 77
Chaudfontaine,3,Chaudfontaine
Ché,3,Ché
Chebbab,3,Chebbab
Chelsea,3,Chelsea
Chianti Classico,3,Chianti Classico
Chicago Bulls,3,Chicago Bulls
Chievo,3,Chievo
Chievo Verona,3,Chievo Verona
Child Focus,3,Child Focus
Chinese patriottische kerk,3,Chinese patriottische kerk
Chiro,3,Chiro
CH Jaca,3,CH Jaca
Cholet,3,Cholet
CHP,3,CHP
Christelijke Onderwijscentrale,3,Christelijke Onderwijscentrale
ChristenUnie,3,ChristenUnie
Christie's,3,Christie's
CIA,3,CIA
Cinélibre,3,Cinélibre
Cisco,3,Cisco
Cisco Systems,3,Cisco Systems
CITES,3,CITES
Citigroup,3,Citigroup
CITO,3,CITO
Citroen,3,Citroen
City Bird,3,City Bird
CIVA,3,CIVA
Civiele Bescherming Brussel,3,Civiele Bescherming Brussel
CL,3,CL
Clare Valley,3,Clare Valley
Clickx,3,Clickx
Clickx Magazine,3,Clickx Magazine
Clonaid,3,Clonaid
Clouseau,3,Clouseau
CLT Ufa,3,CLT Ufa
Club 48,3,Club 48
Club am Alster,3,Club am Alster
Club Brugge,3,Club Brugge
CMG,3,CMG
CMO,3,CMO
CNN,3,CNN
CNTS,3,CNTS
CNV,3,CNV
CNV Publieke Zaak,3,CNV Publieke Zaak
COA,3,COA
COBO,3,COBO
COC,3,COC
Coca Cola,3,Coca Cola
Coca-Cola,3,Coca-Cola
Cockerill,3,Cockerill
Cockerill-Sambre,3,Cockerill-Sambre
Cofidis,3,Cofidis
Cofinimmo,3,Cofinimmo
Coflexip,3,Coflexip
Coker-bende,3,Coker-bende
Cokeries d'Anderlues,3,Cokeries d'Anderlues
College,3,College
College Tarieven Gezondheidszorg,3,College Tarieven Gezondheidszorg
College van Beroep,3,College van Beroep
College van Senioren,3,College van Senioren
College voor Zorgverzekeringen,3,College voor Zorgverzekeringen
Colli Friuli,3,Colli Friuli
Colruyt,3,Colruyt
Colt,3,Colt
Columbia-universiteit,3,Columbia-universiteit
Comité I,3,Comité I
Comité P,3,Comité P
Comités de Pouvoir Populaires,3,Comités de Pouvoir Populaires
Comité van de Waakzaamheid,3,Comité van de Waakzaamheid
Commerzbank,3,Commerzbank
Commissie,3,Commissie
commissie-Bakker,3,commissie-Bakker
Commissie Berkhout,3,Commissie Berkhout
Commissie Financiën,3,Commissie Financiën
commissie-Lumumba,3,commissie-Lumumba
commissie-Van den Haak,3,commissie-Van den Haak
Commissie voor Buitenlandse Zaken,3,Commissie voor Buitenlandse Zaken
Commissie voor Nederlands-Antilliaanse en Arubaanse Zaken,3,Commissie voor Nederlands-Antilliaanse en Arubaanse Zaken
Commonwealth,3,Commonwealth
Communistische Partij,3,Communistische Partij
Como,3,Como
CompuServe,3,CompuServe
Computer Crime Unit,3,Computer Crime Unit
Concentra,3,Concentra
Concertgebouw Orkest,3,Concertgebouw Orkest
Confederation Paysanne,3,Confederation Paysanne
Congres,3,Congres
Congrespartij,3,Congrespartij
Conseco,3,Conseco
Conservatieven,3,Conservatieven
Conservatieven.nl,3,Conservatieven.nl
Conservatieven. nl,3,Conservatieven. nl
Conservatieve Partij,3,Conservatieve Partij
Conservatorium,3,Conservatorium
Conservatrix / Velo,3,Conservatrix / Velo
Constituante,3,Constituante
Constitutioneel Hof,3,Constitutioneel Hof
Constitutionele Hof,3,Constitutionele Hof
Consumentenbond,3,Consumentenbond
Consument en Veiligheid,3,Consument en Veiligheid
Contactorgaan Moslims en Overheid,3,Contactorgaan Moslims en Overheid
Continental Club,3,Continental Club
Continental Foods,3,Continental Foods
Conventie,3,Conventie
Coopers & Lybrand,3,Coopers & Lybrand
Copaco,3,Copaco
Corio,3,Corio
Corriere della Sera,3,Corriere della Sera
Corriere della Sport,3,Corriere della Sport
Coruna,3,Coruna
Coruña,3,Coruña
Corus,3,Corus
Corus Group,3,Corus Group
Cosmopolitan,3,Cosmopolitan
Coster,3,Coster
Coster Diamonds,3,Coster Diamonds
