news_index,type,sentence,score,argument1,argument12
1,agentOf,WASHINGTON     Congressional Republicans have a new fear when it comes to their    health care lawsuit against the Obama administration They might win The incoming Trump administration could choose to no longer defend the executive branch against the suit which challenges the administrations authority to spend billions of dollars on health insurance subsidies for   and   Americans handing House Republicans a big victory on    issues But a sudden loss of the disputed subsidies could conceivably cause the health care program to implode leaving millions of people without access to health insurance before Republicans have prepared a replacement That could lead to chaos in the insurance market and spur a political backlash just as Republicans gain full control of the government To stave off that outcome Republicans could find themselves in the awkward position of appropriating huge sums to temporarily prop up the Obama health care law angering conservative voters who have been demanding,0.771618,their,lawsuit
1,employedBy,an end to the law for years In another twist Donald J Trumps administration worried about preserving executive branch prerogatives could choose to fight its Republican allies in the House on some central questions in the dispute Eager to avoid an ugly political pileup Republicans on Capitol Hill and the Trump transition team are gaming out how to handle the lawsuit which after the election has been put in limbo until at least late February by the United States Court of Appeals for the District of Columbia Circuit They are not yet ready to divulge their strategy Given that this pending litigation involves the Obama administration and Congress it would be inappropriate to comment said Phillip J Blando a spokesman for the Trump transition effort Upon taking office the Trump administration will evaluate this case and all related aspects of the Affordable Care Act  In a potentially   decision in 2015 Judge,0.531573,allies,House
1,locatedAt,an end to the law for years In another twist Donald J Trumps administration worried about preserving executive branch prerogatives could choose to fight its Republican allies in the House on some central questions in the dispute Eager to avoid an ugly political pileup Republicans on Capitol Hill and the Trump transition team are gaming out how to handle the lawsuit which after the election has been put in limbo until at least late February by the United States Court of Appeals for the District of Columbia Circuit They are not yet ready to divulge their strategy Given that this pending litigation involves the Obama administration and Congress it would be inappropriate to comment said Phillip J Blando a spokesman for the Trump transition effort Upon taking office the Trump administration will evaluate this case and all related aspects of the Affordable Care Act  In a potentially   decision in 2015 Judge,0.600232,Republicans,Capitol Hill
1,partOfMany,an end to the law for years In another twist Donald J Trumps administration worried about preserving executive branch prerogatives could choose to fight its Republican allies in the House on some central questions in the dispute Eager to avoid an ugly political pileup Republicans on Capitol Hill and the Trump transition team are gaming out how to handle the lawsuit which after the election has been put in limbo until at least late February by the United States Court of Appeals for the District of Columbia Circuit They are not yet ready to divulge their strategy Given that this pending litigation involves the Obama administration and Congress it would be inappropriate to comment said Phillip J Blando a spokesman for the Trump transition effort Upon taking office the Trump administration will evaluate this case and all related aspects of the Affordable Care Act  In a potentially   decision in 2015 Judge,0.323796,Trump,transition team
1,timeOf,an end to the law for years In another twist Donald J Trumps administration worried about preserving executive branch prerogatives could choose to fight its Republican allies in the House on some central questions in the dispute Eager to avoid an ugly political pileup Republicans on Capitol Hill and the Trump transition team are gaming out how to handle the lawsuit which after the election has been put in limbo until at least late February by the United States Court of Appeals for the District of Columbia Circuit They are not yet ready to divulge their strategy Given that this pending litigation involves the Obama administration and Congress it would be inappropriate to comment said Phillip J Blando a spokesman for the Trump transition effort Upon taking office the Trump administration will evaluate this case and all related aspects of the Affordable Care Act  In a potentially   decision in 2015 Judge,0.854866,February,lawsuit which
1,partOf,an end to the law for years In another twist Donald J Trumps administration worried about preserving executive branch prerogatives could choose to fight its Republican allies in the House on some central questions in the dispute Eager to avoid an ugly political pileup Republicans on Capitol Hill and the Trump transition team are gaming out how to handle the lawsuit which after the election has been put in limbo until at least late February by the United States Court of Appeals for the District of Columbia Circuit They are not yet ready to divulge their strategy Given that this pending litigation involves the Obama administration and Congress it would be inappropriate to comment said Phillip J Blando a spokesman for the Trump transition effort Upon taking office the Trump administration will evaluate this case and all related aspects of the Affordable Care Act  In a potentially   decision in 2015 Judge,0.969826,Court of Appeals for the District of Columbia Circuit They,United States
1,agentOf,an end to the law for years In another twist Donald J Trumps administration worried about preserving executive branch prerogatives could choose to fight its Republican allies in the House on some central questions in the dispute Eager to avoid an ugly political pileup Republicans on Capitol Hill and the Trump transition team are gaming out how to handle the lawsuit which after the election has been put in limbo until at least late February by the United States Court of Appeals for the District of Columbia Circuit They are not yet ready to divulge their strategy Given that this pending litigation involves the Obama administration and Congress it would be inappropriate to comment said Phillip J Blando a spokesman for the Trump transition effort Upon taking office the Trump administration will evaluate this case and all related aspects of the Affordable Care Act  In a potentially   decision in 2015 Judge,0.622755,Phillip J Blando,said
1,partOf,an end to the law for years In another twist Donald J Trumps administration worried about preserving executive branch prerogatives could choose to fight its Republican allies in the House on some central questions in the dispute Eager to avoid an ugly political pileup Republicans on Capitol Hill and the Trump transition team are gaming out how to handle the lawsuit which after the election has been put in limbo until at least late February by the United States Court of Appeals for the District of Columbia Circuit They are not yet ready to divulge their strategy Given that this pending litigation involves the Obama administration and Congress it would be inappropriate to comment said Phillip J Blando a spokesman for the Trump transition effort Upon taking office the Trump administration will evaluate this case and all related aspects of the Affordable Care Act  In a potentially   decision in 2015 Judge,0.619674,Affordable Care Act,administration
1,agentOf,Rosemary M Collyer ruled that House Republicans had the standing to sue the executive branch over a spending dispute and that the Obama administration had been distributing the health insurance subsidies in violation of the Constitution without approval from Congress The Justice Department confident that Judge Collyers decision would be reversed quickly appealed and the subsidies have remained in place during the appeal In successfully seeking a temporary halt in the proceedings after Mr Trump won House Republicans last month told the court that they and the  s transition team currently are discussing potential options for resolution of this matter to take effect after the  s inauguration on Jan 20 2017  The suspension of the case House lawyers said will provide the   and his future administration time to consider whether to continue prosecuting or to otherwise resolve this appeal  Republican leadership officials in the House acknowledge the possibility of cascading effects,0.974748,Rosemary M Collyer,ruled
1,partOf,Rosemary M Collyer ruled that House Republicans had the standing to sue the executive branch over a spending dispute and that the Obama administration had been distributing the health insurance subsidies in violation of the Constitution without approval from Congress The Justice Department confident that Judge Collyers decision would be reversed quickly appealed and the subsidies have remained in place during the appeal In successfully seeking a temporary halt in the proceedings after Mr Trump won House Republicans last month told the court that they and the  s transition team currently are discussing potential options for resolution of this matter to take effect after the  s inauguration on Jan 20 2017  The suspension of the case House lawyers said will provide the   and his future administration time to consider whether to continue prosecuting or to otherwise resolve this appeal  Republican leadership officials in the House acknowledge the possibility of cascading effects,0.905332,Justice Department,Congress The
2,locatedAt,After the bullet shells get counted the blood dries and the votive candles burn out people peer down from   windows and see crime scenes gone cold a band of yellow police tape blowing in the breeze The South Bronx just across the Harlem River from Manhattan and once shorthand for urban dysfunction still suffers violence at levels long ago slashed in many other parts of New York City And yet the citys efforts to fight it remain splintered underfunded and burdened by scandal In the 40th Precinct at the southern tip of the Bronx as in other poor minority neighborhoods across the country people long hounded for   infractions are crying out for more protection against grievous injury or death By September four of every five shootings in the precinct this year were unsolved Out of the citys 77 precincts the 40th has the highest murder rate but the fewest detectives per,0.908014,Harlem River,Manhattan
2,agentOf,violent crime reflecting disparities in staffing that hit hardest in some neighborhoods outside Manhattan according to a New York Times analysis of Police Department data Investigators in the precinct are saddled with twice the number of cases the department recommends even as their bosses are called to Police Headquarters to answer for the sharpest crime rise in the city this year And across the Bronx investigative resources are squeezed It has the highest   rate of the citys five boroughs but the thinnest detective staffing Nine of the 14   precinct detective squads for violent crime in the city are there The boroughs robbery squad is smaller than Manhattans even though the Bronx has had 1,0.949895,department,recommends
2,agentOf,document the hallway ruckus and the inadequate police response The boys made comments about how easy a target she was and about how they would have to slap her if she opened the door while they made a drug sale and they threatened to beat the Fernandez family because they are the ones snitching her notes say But another   complaint at the substation 10 days after the first brought no relief A week later feeling desperate Ms Fernandez tried calling first to the substation at 850 p m when one of the boys blew weed smoke at her door and made a   threat to attack her and then to 911 at 1036 p m The police never came she wrote in her notes She tried the 40th Precinct station house next but officers at the desk left her standing in the public waiting area for a   she said making her fear,0.954915,they,threatened
2,agentOf,document the hallway ruckus and the inadequate police response The boys made comments about how easy a target she was and about how they would have to slap her if she opened the door while they made a drug sale and they threatened to beat the Fernandez family because they are the ones snitching her notes say But another   complaint at the substation 10 days after the first brought no relief A week later feeling desperate Ms Fernandez tried calling first to the substation at 850 p m when one of the boys blew weed smoke at her door and made a   threat to attack her and then to 911 at 1036 p m The police never came she wrote in her notes She tried the 40th Precinct station house next but officers at the desk left her standing in the public waiting area for a   she said making her fear,0.653363,her,say
2,locatedAt,document the hallway ruckus and the inadequate police response The boys made comments about how easy a target she was and about how they would have to slap her if she opened the door while they made a drug sale and they threatened to beat the Fernandez family because they are the ones snitching her notes say But another   complaint at the substation 10 days after the first brought no relief A week later feeling desperate Ms Fernandez tried calling first to the substation at 850 p m when one of the boys blew weed smoke at her door and made a   threat to attack her and then to 911 at 1036 p m The police never came she wrote in her notes She tried the 40th Precinct station house next but officers at the desk left her standing in the public waiting area for a   she said making her fear,0.47252,Fernandez,substation
2,affectedBy,document the hallway ruckus and the inadequate police response The boys made comments about how easy a target she was and about how they would have to slap her if she opened the door while they made a drug sale and they threatened to beat the Fernandez family because they are the ones snitching her notes say But another   complaint at the substation 10 days after the first brought no relief A week later feeling desperate Ms Fernandez tried calling first to the substation at 850 p m when one of the boys blew weed smoke at her door and made a   threat to attack her and then to 911 at 1036 p m The police never came she wrote in her notes She tried the 40th Precinct station house next but officers at the desk left her standing in the public waiting area for a   she said making her fear,0.571603,her,attack
2,agentOf,document the hallway ruckus and the inadequate police response The boys made comments about how easy a target she was and about how they would have to slap her if she opened the door while they made a drug sale and they threatened to beat the Fernandez family because they are the ones snitching her notes say But another   complaint at the substation 10 days after the first brought no relief A week later feeling desperate Ms Fernandez tried calling first to the substation at 850 p m when one of the boys blew weed smoke at her door and made a   threat to attack her and then to 911 at 1036 p m The police never came she wrote in her notes She tried the 40th Precinct station house next but officers at the desk left her standing in the public waiting area for a   she said making her fear,0.956593,she,wrote
2,affectedBy,document the hallway ruckus and the inadequate police response The boys made comments about how easy a target she was and about how they would have to slap her if she opened the door while they made a drug sale and they threatened to beat the Fernandez family because they are the ones snitching her notes say But another   complaint at the substation 10 days after the first brought no relief A week later feeling desperate Ms Fernandez tried calling first to the substation at 850 p m when one of the boys blew weed smoke at her door and made a   threat to attack her and then to 911 at 1036 p m The police never came she wrote in her notes She tried the 40th Precinct station house next but officers at the desk left her standing in the public waiting area for a   she said making her fear,0.549891,her,wrote
2,agentOf,document the hallway ruckus and the inadequate police response The boys made comments about how easy a target she was and about how they would have to slap her if she opened the door while they made a drug sale and they threatened to beat the Fernandez family because they are the ones snitching her notes say But another   complaint at the substation 10 days after the first brought no relief A week later feeling desperate Ms Fernandez tried calling first to the substation at 850 p m when one of the boys blew weed smoke at her door and made a   threat to attack her and then to 911 at 1036 p m The police never came she wrote in her notes She tried the 40th Precinct station house next but officers at the desk left her standing in the public waiting area for a   she said making her fear,0.982904,she,said
2,timeOf,being seen again Officers put her in worse danger some months later she said when they came to her door and announced in front of the teenagers that they were there on a complaint about drug activity Mr Fernandez started doing the work that he said the police had failed to do He wired a camera into his peephole to record the drugs and guns The footage hark back to the New York of the 1980s still very much present to some of the precincts residents Around 630 each morning Sgt Michael J LoPuzzo walks through the tall wooden doors of the 40th Precinct station house The cases that land on his metal desk     dead bodies with no known cause strip club brawls shooting victims hobbling into the hospital themselves     bring resistance at every turn reminding him of an earlier era in the citys   campaign I havent got one single phone,0.648312,some months later,said
3,agentOf,When Walt Disneys Bambi opened in 1942 critics praised its spare haunting visual style vastly different from anything Disney had done before But what they did not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a   mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong weathered irrevocable separation from his mother     and in the hope of making a life in America incarceration isolation and rigorous interrogation     all when he was still a child In the years that followed he endured poverty discrimination and chronic lack of recognition not only for his work at Disney but also for his fine art before finding acclaim in his 90s Mr Wong died on Friday at,0.711274,Walt Disneys Bambi,praised
3,ownerOf,106 A Hollywood studio artist painter printmaker calligrapher   illustrator and in later years maker of fantastical kites he was one of the most celebrated   artists of the 20th century But because of the marginalization to which   were long subject he passed much of his career unknown to the general public Artistic recognition when Mr Wong did find it was all the more noteworthy for the fact that among Chinese immigrant men of his generation professional prospects were largely limited to menial jobs like houseboy and laundryman Trained as a painter Mr Wong was a leading figure in the Modernist movement that flourished in California between the first and second World Wars In 1932 and again in 1934 his work was included in group shows at the Art Institute of Chicago that also featured Picasso Matisse and Paul Klee As a staff artist for Hollywood studios from the 1930s to the 1960s,0.52266,Hollywood,studio
3,affectedBy,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.533644,Mr,wrote
3,authorOf,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.920245,his,book
3,agentOf,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.993358,He,said
3,agentOf,there and the sign was still there Mr Wong recalled in Tyrus  After the Japanese attack on Pearl Harbor in December 1941 Mr Wong like many   took to wearing a lapel button proclaiming his heritage lest an angry American beat him up on the street The war permanently dispersed the fledgling Oriental Artists Group Mr Wongs friend Mr Okubo was sent with tens of thousands of other   to an internment camp If World War II hadnt happened when it did I think these artists even the   artists would have more of a name than they do today Ms See said And thats because this little movement that had just barely started was split apart by the war  Mr Wong who became a United States citizen in 1946 also designed Christmas cards for Hallmark and painted elegant   designs on dinnerware now sought after by collectors A longtime resident of Sunland Calif he,0.779724,Wong,recalled
3,agentOf,to the Museum of Chinese in America in Lower Manhattan Mr Wongs death at his home in Sunland was confirmed by the filmmaker Ms Tom His survivors include three daughters Kay Fong   Wong and Kim Wong and two grandchildren When his daughters were small Mr Wong encouraged them to make art as his father had encouraged him Yet he would not let them have coloring books The reason was simple He did not want his children constrained he said by lines laid down by others,0.97288,he,said
3,agentOf,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.992556,Canemaker,explained
3,partOfMany,series of nature scenes that were moody lyrical and atmospheric     at once lush and spare     with backgrounds subtly suggested by a stroke or two of the brush Walt Disney went crazy over them said Mr Canemaker who wrote about Mr Wong in his book Before the Animation Begins The Art and Lives of Disney Inspirational Sketch Artists 1996 He said I love this indefinite quality the mysterious quality of the forest  Mr Wong was unofficially promoted to the rank of inspirational sketch artist But he was more than that Mr Canemaker explained He was the designer he was the person they went to when they had questions about the color about how to lay something out He even influenced the music and the special effects Just by the look of the drawings he inspired people  Mr Wong spent two years painting the illustrations that would inform every aspect of Bambi  Throughout,0.568682,person,they
3,agentOf,the finished film     lent a brooding quality by its stark landscapes misty desaturated palette and figures often seen in silhouette     his influence is unmistakable But in 1941 in the wake of a bitter employees strike that year Disney fired Mr Wong Though he had chosen not to strike     he felt the studio had been good to him Mr Canemaker said     he was let go amid the lingering climate of   resentments On Bambi Mr Wongs name appears quite far down in the credits as a mere background artist Mr Wong joined Warner Brothers in 1942 working there     and lent out on occasion to other studios     until his retirement in 1968 The indignities he endured were not confined to the studios Trying to buy a house he and his wife the former Ruth Kim were told that each property they inquired about had just been sold Then in a month youd go back,0.650758,employees,strike
4,hasAttribute,Death may be the great equalizer but it isnt necessarily evenhanded Of all the fields of endeavor that suffered mortal losses in 2016     consider Muhammad Ali and Arnold Palmer in sports and the      Hollywood deaths of Carrie Fisher and Debbie Reynolds     the pop music world had hands down the bleakest year Start with David Bowie whose stage persona     androgynous glam rocker dance pop star electronic experimentalist     was as   as his music The year was only days old when the news came that he had died of cancer at 69 He had hinted that his time was short in the lyrics of his final album released just two days before his death but he had otherwise gone to great lengths to hide his illness from the public a wish for privacy that ensured that his death would appear to have come out of the blue Then came another shock about three months,0.546921,he,cancer
